Category,ColumnName,ColumnOrdinal,DataType,ColumnType,Description,Values
Administrative,_ResourceId,28,System.String,string,ID of the resoure the record is associated with.,
Administrative,ActivityStatus,3,System.String,string,"Status of the operation. Common values are: Started, In Progress, Succeeded, Failed, Active, Resolved.",Started<br>In Progress<br>Succeeded<br>Failed<br>Active<br>Resolved
Administrative,ActivityStatusValue,4,System.String,string,,
Administrative,ActivitySubstatus,5,System.String,string,"Usually the HTTP status code of the corresponding REST call  but can also include other strings describing a substatus, such as these common values: OK (HTTP Status Code: 200), Created (HTTP Status Code: 201), Accepted (HTTP Status Code: 202), No Content (HTTP Status Code: 204), Bad Request (HTTP Status Code: 400), Not Found (HTTP Status Code: 404), Conflict (HTTP Status Code: 409), Internal Server Error (HTTP Status Code: 500), Service Unavailable (HTTP Status Code: 503), Gateway Timeout (HTTP Status Code: 504).",
Administrative,ActivitySubstatusValue,6,System.String,string,,
Administrative,Authorization,17,System.String,json,RBAC properties of the event. ,action<br>role<br>scope
Administrative,Caller,10,System.String,string,"Email address of the user who has performed the operation, UPN claim, or SPN claim based on availability.",
Administrative,CallerIpAddress,11,System.String,string,IP address of the caller.,
Administrative,Category,12,System.String,string,"""Administrative""",
Administrative,CategoryValue,13,System.String,string,,
Administrative,CorrelationId,9,System.String,guid,Events that share a correlationId belong to the same action.,
Administrative,EventDataId,23,System.String,string,Unique identifier of an event.,
Administrative,EventSubmissionTimestamp,16,System.DateTime,datetime,Timestamp when the event was generated by the Azure service processing the request corresponding the event.,
Administrative,HTTPRequest,14,System.String,json,Set of key-value pairs describing the Http Request. ,clientIpAddress<br>clientRequestId<br>method
Administrative,Level,2,System.String,string,Level of the event.,Critical<br>Error<br>Warning<br>Informational
Administrative,OperationId,19,System.String,string,GUID shared among the events that correspond to a single operation.,
Administrative,OperationName,0,System.String,string,Descriptive name of the operation.,
Administrative,OperationNameValue,1,System.String,string,Standardized name of the operation.,
Administrative,Properties,15,System.String,json,Set of key-value pairs describing the details of the event.,
Administrative,Resource,22,System.String,string,Name of the impacted resource.,
Administrative,ResourceGroup,7,System.String,string,Name of the resource group for the impacted resource.,
Administrative,ResourceId,18,System.String,string,Resource ID of the impacted resource.,
Administrative,ResourceProvider,20,System.String,string,Name of the resource provider for the impacted resource.,
Administrative,ResourceProviderValue,21,System.String,string,,
Administrative,SourceSystem,26,System.String,string,"""Azure""",
Administrative,SubscriptionId,8,System.String,string,Azure Subscription ID,
Administrative,TenantId,24,System.String,string,Azure Tenant ID,
Administrative,TimeGenerated,25,System.DateTime,datetime,Date and time the record was created.,
Administrative,Type,27,System.String,string,AzureActivity,
Policy,_ResourceId,28,System.String,string,ID of the resoure the record is associated with.,
Policy,ActivityStatus,3,System.String,string,"Status of the operation. Common values are: Started, In Progress, Succeeded, Failed, Active, Resolved.",
Policy,ActivityStatusValue,4,System.String,string,Status of the Policy evaluation result.,Succeeded<br>Failed
Policy,ActivitySubstatusValue,6,System.String,string,,
Policy,Authorization,17,System.String,json,"Array of RBAC properties of the event. For new resources, this is the action and scope of the request that triggered evaluation. For existing resources, the action is ""Microsoft.Resources/checkPolicyCompliance/read"".",action<br>scope
Policy,Caller,10,System.String,string,"For new resources, the identity that initiated a deployment. For existing resources, the GUID of the Microsoft Azure Policy Insights RP.",
Policy,Category,12,System.String,string,"""Administrative""",
Policy,CategoryValue,13,System.String,string,,
Policy,CorrelationId,9,System.String,guid,Events that share a correlationId belong to the same action.,
Policy,EventDataId,23,System.String,string,Unique identifier of an event.,
Policy,EventSubmissionTimestamp,16,System.DateTime,datetime,Timestamp when the event became available for querying.,
Policy,Level,2,System.String,string,"Level of the event. Audit uses ""Warning"" and Deny uses ""Error"". An auditIfNotExists or deployIfNotExists error can generate ""Warning"" or ""Error"" depending on severity. All other Policy events use ""Informational"".",Error<br>Warning<br>Informational
Policy,OperationId,19,System.String,string,GUID shared among the events that correspond to a single operation.,
Policy,OperationName,0,System.String,string,Descriptive name of the operation.,
Policy,OperationNameValue,1,System.String,string,Standardized name of the operation.,
Policy,Properties,15,System.String,json,Set of key-value pairs describing the details of the event.,
Policy,Properties.ancestors,,System.String,string,A comma-separated list of parent management groups ordered from direct parent to farthest grandparent.,
Policy,Properties.isComplianceCheck,,System.String,string,"Returns ""False"" when a new resource is deployed or an existing resource's Resource Manager properties are updated. All other evaluation triggers result in ""True"".",
Policy,Properties.policies,,System.String,string,"Includes details about the policy definition, assignment, effect, and parameters that this Policy evaluation is a result of.",
Policy,Properties.resourceLocation,,System.String,string,The Azure region of the resource being evaluated.,
Policy,Resource,22,System.String,string,Name of the impacted resource.,
Policy,ResourceGroup,7,System.String,string,Name of the resource group for the evaluated resource.,
Policy,ResourceId,18,System.String,string,Resource ID of the evaluated resource.,
Policy,ResourceProvider,20,System.String,string,Name of the resource provider for the evaluated resource.,
Policy,ResourceProviderValue,21,System.String,string,,
Policy,SourceSystem,26,System.String,string,"""Azure""",
Policy,SubscriptionId,8,System.String,string,Azure Subscription ID,
Policy,TenantId,24,System.String,string,Azure Tenant ID,
Policy,TimeGenerated,25,System.DateTime,datetime,Date and time the record was created.,
Policy,Type,27,System.String,string,AzureActivity,
